row_index,file_a,file_b,label,clone_type_original,random_forest_pred,random_forest_acerto
14,submission16.py,submission17.py,1,3,0,False
17,submission22.py,submission23.py,1,3,2,False
21,submission30.py,submission31.py,0,0,3,False
34,submission40.py,submission41.py,1,2,0,False
36,submission41.py,submission42.py,1,2,0,False
41,submission41.py,submission44.py,1,2,0,False
45,submission45.py,submission47.py,1,2,0,False
50,submission45.py,submission49.py,1,2,0,False
55,submission50.py,submission52.py,1,2,0,False
60,submission50.py,submission54.py,1,3,0,False
62,submission52.py,submission54.py,1,3,0,False
64,submission55.py,submission56.py,1,3,0,False
68,submission56.py,submission58.py,0,0,3,False
77,submission58.py,submission60.py,0,0,3,False
79,submission61.py,submission62.py,1,3,0,False
80,submission61.py,submission63.py,0,0,2,False
94,submission67.py,submission68.py,1,3,0,False
114,submission75.py,submission76.py,0,0,3,False
165,submission102.py,submission104.py,1,2,0,False
168,submission103.py,submission105.py,1,3,0,False
169,submission104.py,submission105.py,1,3,0,False
170,submission102.py,submission106.py,0,0,3,False
174,submission107.py,submission108.py,1,3,2,False
175,submission107.py,submission109.py,1,3,1,False
176,submission108.py,submission109.py,0,0,2,False
179,submission109.py,submission110.py,0,0,3,False
190,submission112.py,submission116.py,1,3,0,False
191,submission113.py,submission116.py,1,3,0,False
193,submission115.py,submission116.py,1,3,0,False
194,submission117.py,submission118.py,1,3,0,False
195,submission117.py,submission119.py,0,0,2,False
198,submission118.py,submission120.py,0,0,2,False
200,submission117.py,submission121.py,0,0,2,False
202,submission119.py,submission121.py,0,0,2,False
206,submission123.py,submission124.py,0,0,3,False
208,submission123.py,submission125.py,0,0,3,False
209,submission124.py,submission125.py,0,0,3,False
210,submission122.py,submission126.py,0,0,3,False
211,submission123.py,submission126.py,0,0,3,False
212,submission124.py,submission126.py,0,0,3,False
213,submission125.py,submission126.py,0,0,3,False
216,submission128.py,submission129.py,1,3,0,False
218,submission128.py,submission130.py,1,3,0,False
219,submission129.py,submission130.py,1,3,0,False
220,submission127.py,submission131.py,0,0,3,False
222,submission129.py,submission131.py,1,3,0,False
230,submission132.py,submission136.py,0,0,3,False
231,submission133.py,submission136.py,0,0,3,False
236,submission138.py,submission139.py,1,3,0,False
237,submission137.py,submission140.py,1,3,2,False
238,submission138.py,submission140.py,0,0,3,False
246,submission142.py,submission144.py,1,3,0,False
248,submission142.py,submission145.py,1,3,0,False
252,submission143.py,submission146.py,0,0,2,False
